,Year,Rank,Time,Team,Rider,Country,Time - Seconds,Time - Hours,Time - Minutes,win_flag
226,1966,62,"+ 1h 10' 42""",Kamomé–Dilecta–Dunlop,André Darrigade ,FRA,42.0,1,10,0
227,1966,66,"+ 1h 16' 36""",Ford France–Hutchinson,Michel Grain ,FRA,36.0,1,16,0
228,1966,71,"+ 1h 25' 39""",Kamomé–Dilecta–Dunlop,Pierre Beuffeuil ,FRA,39.0,1,25,0
229,1966,78,"+ 1h 38' 28""",Mercier–BP–Hutchinson,Gilbert Bellone ,FRA,28.0,1,38,0
230,1966,79,"+ 1h 45' 43""",Ford France–Hutchinson,Jean Milesi ,FRA,43.0,1,45,0
231,1966,80,"+ 1h 54' 16""",Mercier–BP–Hutchinson,Robert Cazala ,FRA,16.0,1,54,0
232,1967,57,"+ 1h 15' 08""",Bleuets,Christian Raymond ,FRA,8.0,1,15,0
233,1967,66,"+ 1h 19' 45""",Bleuets,Roger Milliot ,FRA,45.0,1,19,0
234,1968,40,"+ 1h 04' 56""",France B,Gilbert Bellone ,FRA,56.0,1,4,0
235,1968,41,"+ 1h 07' 26""",France A,Jean-Pierre Genet ,FRA,26.0,1,7,0
236,1968,42,"+ 1h 08' 00""",France B,Georges Chappe ,FRA,0.0,1,8,0
237,1968,43,"+ 1h 10' 54""",France C,Maurice Izier ,FRA,54.0,1,10,0
238,1968,45,"+ 1h 13' 07""",France A,Christian Raymond ,FRA,7.0,1,13,0
239,1968,48,"+ 1h 19' 15""",France B,Serge Bolley ,FRA,15.0,1,19,0
240,1968,50,"+ 1h 33' 58""",France A,Anatole Novak ,FRA,58.0,1,33,0
241,1968,58,"+ 1h 49' 36""",France B,Jean-Marie Leblanc ,FRA,36.0,1,49,0
242,1968,59,"+ 1h 49' 50""",France C,Jean-Louis Bodin ,FRA,50.0,1,49,0
243,1969,13,"+ 1h 04' 58""",Sonolor–Lejeune,Jean-Claude Theillière ,FRA,58.0,1,4,0
244,1969,16,"+ 1h 07' 25""",Peugeot–BP–Michelin,Jean Dumont ,FRA,25.0,1,7,0
245,1969,17,"+ 1h 08' 05""",Frimatic–de Gribaldy–Viva–Wolber,Paul Gutty ,FRA,5.0,1,8,0
246,1969,25,"+ 1h 30' 03""",Mercier–BP–Hutchinson,Bernard Labourdette ,FRA,3.0,1,30,0
247,1969,26,"+ 1h 33' 56""",Sonolor–Lejeune,André Zimmermann ,FRA,56.0,1,33,0
248,1969,30,"+ 1h 52' 57""",Bic,Lucien Aimar ,FRA,57.0,1,52,0
249,1969,31,"+ 1h 57' 58""",Peugeot–BP–Michelin,André Bayssiere ,FRA,58.0,1,57,0
250,1970,33,"+ 1h 11' 22""",Fagor–Mercier–Hutchinson,Bernard Labourdette ,FRA,22.0,1,11,0
251,1970,35,"+ 1h 13' 25""",Peugeot–BP–Michelin,Bernard Thévenet ,FRA,25.0,1,13,0
